https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CFX,Volume USDT,tradecount
1665705600000,2022-10-14,CFXUSDT,0.0356,0.0426,0.0348,0.0353,30867922.0,1155439.8375,8929
1665619200000,2022-10-13,CFXUSDT,0.037,0.0372,0.0327,0.0356,12042980.0,419744.656,3961
1665532800000,2022-10-12,CFXUSDT,0.0382,0.0387,0.0366,0.037,11509764.0,433812.3169,2467
1665446400000,2022-10-11,CFXUSDT,0.0394,0.0394,0.038,0.0382,10108301.0,390263.8651,2650
1665360000000,2022-10-10,CFXUSDT,0.0415,0.0418,0.0392,0.0394,10182383.0,414198.7198,2565
1665273600000,2022-10-09,CFXUSDT,0.0412,0.042,0.0409,0.0415,3021178.0,125355.0639,1395
1665187200000,2022-10-08,CFXUSDT,0.0415,0.0421,0.041,0.0413,6139389.0,254850.7446,1442
1665100800000,2022-10-07,CFXUSDT,0.0418,0.0445,0.041,0.0417,18950770.0,809945.0492,4789
1665014400000,2022-10-06,CFXUSDT,0.0421,0.0426,0.0417,0.0419,8380925.0,352506.8578,1960
1664928000000,2022-10-05,CFXUSDT,0.0422,0.0425,0.0414,0.0421,6237494.0,261974.9805,1369
1664841600000,2022-10-04,CFXUSDT,0.0422,0.0428,0.0418,0.0423,8470393.0,357665.7449,1874
1664755200000,2022-10-03,CFXUSDT,0.0413,0.0425,0.0409,0.0422,6150901.0,256542.9944,1573
1664668800000,2022-10-02,CFXUSDT,0.0416,0.0431,0.0409,0.0413,7712525.0,322395.4947,2031
1664582400000,2022-10-01,CFXUSDT,0.042,0.0424,0.0414,0.0416,4553574.0,190331.3799,3458
1664496000000,2022-09-30,CFXUSDT,0.0419,0.043,0.0414,0.042,11365176.0,479298.4306,2948
1664409600000,2022-09-29,CFXUSDT,0.0418,0.0425,0.0409,0.0419,15653503.0,653633.3969,3380
1664323200000,2022-09-28,CFXUSDT,0.0428,0.043,0.041,0.0419,12800900.0,535823.2292,4044
1664236800000,2022-09-27,CFXUSDT,0.0436,0.0459,0.042,0.0428,31559428.0,1391872.7519,6249
1664150400000,2022-09-26,CFXUSDT,0.0424,0.0443,0.0422,0.0436,9719528.0,421274.1332,2545
1664064000000,2022-09-25,CFXUSDT,0.0428,0.044,0.0421,0.0424,6576755.0,282273.793,1859
1663977600000,2022-09-24,CFXUSDT,0.043,0.0445,0.0426,0.0429,13185354.0,575288.5671,3039
1663891200000,2022-09-23,CFXUSDT,0.0436,0.0442,0.0415,0.043,15527679.0,662563.5849,3663
1663804800000,2022-09-22,CFXUSDT,0.0422,0.0439,0.0418,0.0436,12233877.0,524611.776,2959
1663718400000,2022-09-21,CFXUSDT,0.043,0.0449,0.0409,0.0422,17901343.0,770404.89,4681
1663632000000,2022-09-20,CFXUSDT,0.0436,0.0509,0.0428,0.0431,65819805.0,3027693.2174,14576
1663545600000,2022-09-19,CFXUSDT,0.0434,0.0444,0.0419,0.0436,21316511.0,912844.5405,6062
1663459200000,2022-09-18,CFXUSDT,0.0492,0.0496,0.0432,0.0435,21845201.0,1017592.6209,6022
1663372800000,2022-09-17,CFXUSDT,0.0488,0.0496,0.0478,0.0493,22115051.0,1077811.6831,4567
1663286400000,2022-09-16,CFXUSDT,0.0513,0.0513,0.0479,0.0489,31118042.0,1544500.7282,7582
1663200000000,2022-09-15,CFXUSDT,0.0606,0.0638,0.051,0.0512,121421986.0,6937015.3417,29714
1663113600000,2022-09-14,CFXUSDT,0.0478,0.0647,0.0476,0.0608,170022446.0,9726280.1229,51730
1663027200000,2022-09-13,CFXUSDT,0.0528,0.055,0.0467,0.0478,45083283.0,2244185.8797,10102
1662940800000,2022-09-12,CFXUSDT,0.0542,0.0554,0.0512,0.0528,25804496.0,1386635.5942,6578
1662854400000,2022-09-11,CFXUSDT,0.056,0.0562,0.0536,0.0541,20330374.0,1117107.4767,5234
1662768000000,2022-09-10,CFXUSDT,0.0555,0.0568,0.0547,0.056,21585527.0,1206265.7853,4779
1662681600000,2022-09-09,CFXUSDT,0.0522,0.0564,0.0518,0.0554,25398573.0,1374591.5707,6588
1662595200000,2022-09-08,CFXUSDT,0.0519,0.0527,0.0507,0.0521,9188491.0,476704.1559,3171
1662508800000,2022-09-07,CFXUSDT,0.0506,0.0523,0.0502,0.0519,8191693.0,419042.5949,3501
1662422400000,2022-09-06,CFXUSDT,0.0531,0.0539,0.0503,0.0506,14930455.0,779605.1639,4094
1662336000000,2022-09-05,CFXUSDT,0.0527,0.0534,0.0502,0.0532,14793595.0,767535.1281,3311
1662249600000,2022-09-04,CFXUSDT,0.0512,0.0527,0.051,0.0527,8995682.0,464955.232,2194
1662163200000,2022-09-03,CFXUSDT,0.0505,0.0512,0.0503,0.0511,2698957.0,136788.9362,1021
1662076800000,2022-09-02,CFXUSDT,0.0506,0.0522,0.0498,0.0506,7342701.0,374279.1899,2066
1661990400000,2022-09-01,CFXUSDT,0.0504,0.0516,0.0492,0.0507,12003095.0,601753.2393,2868
1661904000000,2022-08-31,CFXUSDT,0.0504,0.0522,0.0501,0.0505,8056948.0,410247.5756,2316
1661817600000,2022-08-30,CFXUSDT,0.0526,0.0535,0.0498,0.0501,10670076.0,548444.7357,3328
1661731200000,2022-08-29,CFXUSDT,0.0505,0.0527,0.0503,0.0526,9601604.0,494546.4113,2930
1661644800000,2022-08-28,CFXUSDT,0.0545,0.0545,0.0502,0.0503,11191111.0,589290.5735,3695
1661558400000,2022-08-27,CFXUSDT,0.0573,0.0614,0.052,0.0544,55426214.0,3167028.2385,15622
1661472000000,2022-08-26,CFXUSDT,0.0549,0.062,0.0545,0.0573,114166042.0,6647805.6289,31312
1661385600000,2022-08-25,CFXUSDT,0.0547,0.0555,0.0539,0.055,8942755.0,488580.8848,2513
1661299200000,2022-08-24,CFXUSDT,0.0539,0.0557,0.053,0.0547,13091203.0,710699.3322,3223
1661212800000,2022-08-23,CFXUSDT,0.0528,0.063,0.0522,0.0539,73185328.0,4130260.0428,15870
1661126400000,2022-08-22,CFXUSDT,0.0529,0.0534,0.0509,0.0527,13407487.0,698070.5044,3893
1661040000000,2022-08-21,CFXUSDT,0.0523,0.0544,0.0522,0.0529,10456948.0,554520.0193,2891
1660953600000,2022-08-20,CFXUSDT,0.0517,0.0534,0.0516,0.0522,9237751.0,484516.5456,2928
1660867200000,2022-08-19,CFXUSDT,0.0606,0.0609,0.0511,0.0516,36463203.0,2026617.4088,7695
1660780800000,2022-08-18,CFXUSDT,0.0579,0.0649,0.0577,0.0608,78474291.0,4841639.0158,18423
